@                   x                         y                        z            nabs nscat    abslum      temp    dens        mass       cell_tau  next_n
  1.15991462400000000000e+17  0.00000000000000000000e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  3.6776e-19  0.0000e+00  0.0000e+00    0
  1.21145481600000000000e+17  0.00000000000000000000e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  3.4191e-19  0.0000e+00  0.0000e+00    0
  1.26299500800000000000e+17  0.00000000000000000000e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  3.1854e-19  0.0000e+00  0.0000e+00    0
  1.31453520000000000000e+17  0.00000000000000000000e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  2.9737e-19  0.0000e+00  0.0000e+00    0
  1.36607539200000000000e+17  0.00000000000000000000e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  2.7815e-19  0.0000e+00  0.0000e+00    0
  1.41761558400000000000e+17  0.00000000000000000000e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  2.6065e-19  0.0000e+00  0.0000e+00    0
  1.46915577600000000000e+17  0.00000000000000000000e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  2.4469e-19  0.0000e+00  0.0000e+00    0
  1.52069596800000000000e+17  0.00000000000000000000e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  2.3009e-19  0.0000e+00  0.0000e+00    0
  1.57223616000000000000e+17  0.00000000000000000000e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  2.1672e-19  0.0000e+00  0.0000e+00    0
  1.62377635200000000000e+17  0.00000000000000000000e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  2.0444e-19  0.0000e+00  0.0000e+00    0
  1.67531654400000000000e+17  0.00000000000000000000e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  1.9315e-19  0.0000e+00  0.0000e+00    0
  1.72685673600000000000e+17  0.00000000000000000000e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  1.8274e-19  0.0000e+00  0.0000e+00    0
  1.77839692800000000000e+17  0.00000000000000000000e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  1.7312e-19  0.0000e+00  0.0000e+00    0
  1.82993712000000000000e+17  0.00000000000000000000e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  1.6423e-19  0.0000e+00  0.0000e+00    0
  1.88147731200000000000e+17  0.00000000000000000000e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  1.5598e-19  0.0000e+00  0.0000e+00    0
  1.93301750400000000000e+17  0.00000000000000000000e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  1.4833e-19  0.0000e+00  0.0000e+00    0
  1.98455769600000000000e+17  0.00000000000000000000e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  1.4122e-19  0.0000e+00  0.0000e+00    0
  2.03609788800000000000e+17  0.00000000000000000000e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  1.3459e-19  0.0000e+00  0.0000e+00    0
  2.08763808000000000000e+17  0.00000000000000000000e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  1.2841e-19  0.0000e+00  0.0000e+00    0
  2.13917827200000000000e+17  0.00000000000000000000e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  1.2264e-19  0.0000e+00  0.0000e+00    0
  2.19071846400000000000e+17  0.00000000000000000000e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  1.1724e-19  0.0000e+00  0.0000e+00    0
  2.24225865600000000000e+17  0.00000000000000000000e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  1.1219e-19  0.0000e+00  0.0000e+00    0
  2.29379884800000000000e+17  0.00000000000000000000e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  1.0745e-19  0.0000e+00  0.0000e+00    0
  2.34533904000000000000e+17  0.00000000000000000000e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  1.0300e-19  0.0000e+00  0.0000e+00    0
  2.39687923200000000000e+17  0.00000000000000000000e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  9.8812e-20  0.0000e+00  0.0000e+00    0
