@                   x                         y                        z            nabs nscat    abslum      temp    dens        mass       cell_tau  next_n
  8.88773600000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.0602e-17  4.7018e+31  0.0000e+00    0
  9.03584000000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.0266e-17  4.7059e+31  0.0000e+00    0
  9.18394400000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  9.9462e-18  4.7099e+31  0.0000e+00    0
  9.33204800000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  9.6408e-18  4.7136e+31  0.0000e+00    0
  9.48015200000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  9.3492e-18  4.7172e+31  0.0000e+00    0
  9.62825600000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  9.0705e-18  4.7206e+31  0.0000e+00    0
  9.77636000000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  8.8040e-18  4.7239e+31  0.0000e+00    0
  9.92446400000000000000e+16  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  8.5490e-18  4.7270e+31  0.0000e+00    0
  1.00725680000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  8.3048e-18  4.7300e+31  0.0000e+00    0
  1.02206720000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  8.0709e-18  4.7329e+31  0.0000e+00    0
  1.03687760000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  7.8467e-18  4.7357e+31  0.0000e+00    0
  1.05168800000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  7.6316e-18  4.7383e+31  0.0000e+00    0
  1.06649840000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  7.4251e-18  4.7409e+31  0.0000e+00    0
  1.08130880000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  7.2269e-18  4.7433e+31  0.0000e+00    0
  1.09611920000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  7.0365e-18  4.7456e+31  0.0000e+00    0
  1.11092960000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  6.8534e-18  4.7479e+31  0.0000e+00    0
  1.12574000000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  6.6774e-18  4.7501e+31  0.0000e+00    0
  1.14055040000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  6.5080e-18  4.7521e+31  0.0000e+00    0
  1.15536080000000000000e+17  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  6.3450e-18  4.7542e+31  0.0000e+00    0
